text,intent
cho tôi xem 5 sản phẩm nổi bật khác với các sản phẩm vừa xem,xem_san_pham_khac
gợi ý 5 sản phẩm khác những sản phẩm trước đó,xem_san_pham_khac
cho xem các sản phẩm nổi bật tiếp theo,xem_san_pham_khac
tôi muốn xem sản phẩm khác với danh sách trên,xem_san_pham_khac
đưa cho tôi 5 sản phẩm nổi bật chưa xem,xem_san_pham_khac
hãy hiển thị những sản phẩm khác lần trước,xem_san_pham_khac
cho tôi xem thêm sản phẩm nổi bật khác,xem_san_pham_khac
không lấy 5 sản phẩm cũ cho xem 5 sản phẩm khác,xem_san_pham_khac
shop có trà Shan Tuyết không,tim_kiem_san_pham
cái hộp quà Tết này bao tiền,hoi_gia
mình muốn tiếp tục để đặt hàng,bat_dau_dat_hang
cảm ơn bạn đã giúp mình,cam_on
chính sách đổi trả thế nào giúp mình,chinh_sach_doi_tra
ko biết nữa,khong_hieu
nên mua gì làm quà,goi_y_san_pham
dừng đặt hàng ngay,huy_checkout
đơn hàng của mình đang ở đâu nhé,tra_cuu_don_hang
cho em xin giá hạt mắc ca giúp mình,hoi_gia
hủy đơn hàng giúp mình vậy,huy_don_hang
có freeship không giúp mình,hoi_phi_ship
đơn hàng của mình đang ở đâu shop,tra_cuu_don_hang
khi nào mua mình nhắn lại,tam_biet
có hộp quà nào dưới 150k không,tim_san_pham_theo_gia
mình cảm ơn shop nhiều shop,cam_on
đưa sản phẩm này vào giỏ hàng,them_vao_gio_hang
có freeship khg,hoi_phi_ship
có giao gấp trong ngày khg,thoi_gian_giao_hang
mình đồng ý với đơn hàng,xac_nhan_dat_hang
trà Ô Long bao nhiêu gram,hoi_khoi_luong
hạt điều rang muối hãng nào,hoi_thuong_hieu
mật ong hoa rừng với hộp quà Tết cao cấp loại nào ngon hơn,so_sanh_san_pham
đơn vị bán của măng khô Tây Bắc là gì,hoi_don_vi
còn trà Shan Tuyết không,kiem_tra_ton_kho
mình muốn hoàn tất bước thanh toán,thanh_toan_don_hang
có sản phẩm nào từ 200k đến 500k không,tim_san_pham_theo_gia
hạt mắc ca hãng nào,hoi_thuong_hieu
chỉnh lại số lượng trong giỏ giúp mình,cap_nhat_gio_hang
mình cảm ơn shop nhiều nhé,cam_on
cho mình chọn COD nhé,chon_phuong_thuc_thanh_toan
tôi không hiểu shop,khong_hieu
cho mình sử dụng COD,chon_phuong_thuc_thanh_toan
mình không muốn mua tiếp,huy_checkout
hộp quà Tết cao cấp nặng bao nhiêu,hoi_khoi_luong
bỏ hộp quà Tết ra khỏi giỏ,xoa_khoi_gio_hang
trà Shan Tuyết tính theo túi hay hộp,hoi_don_vi
mình muốn tiến hành mua hàng,bat_dau_dat_hang
xóa cà phê Robusta khỏi giỏ,xoa_khoi_gio_hang
"giao hàng đến số 25 Lê Lợi, Đà Nẵng",nhap_dia_chi_giao_hang
thêm một chai mật ong vào giỏ,them_vao_gio_hang
có nhận ship COD ko,phuong_thuc_thanh_toan
shop đang sale sản phẩm nào giúp mình,khuyen_mai
qwerty giúp mình,khong_hieu
thôi không đặt nữa,huy_checkout
shop có trà Ô Long không,tim_kiem_san_pham
giảm măng khô từ 3 túi xuống 2 túi,cap_nhat_gio_hang
hẹn gặp lại giúp mình,tam_biet
dạ em cảm ơn nhé,cam_on
có ai ở đây không,chao_hoi
cảm ơn bạn nhiều giúp mình,cam_on
thêm món này vào giỏ hàng,them_vao_gio_hang
cho mình thêm trà Ô Long vào giỏ,them_vao_gio_hang
hủy việc mua hàng này,huy_checkout
ship hỏa tốc được không shop,thoi_gian_giao_hang
huy cho tôi đơn hàng số 25, huy_don_hang
hạt điều rang muối tính theo gì,hoi_don_vi
mình không biết hỏi thế nào nhé,khong_hieu
cho mình tiến hành mua hàng,bat_dau_dat_hang
cho mình tăng số lượng hạt điều thêm một hộp,cap_nhat_gio_hang
???,khong_hieu
cà phê robusta được sản xuất ở đâu,hoi_nguon_goc
trọng lượng của cà phê Robusta là bao nhiêu,hoi_khoi_luong
loại trà Ô Long khỏi giỏ hàng,xoa_khoi_gio_hang
trà Ô Long có đặc điểm gì,chi_tiet_san_pham
có chương trình khuyến mãi nào,khuyen_mai
thêm sản phẩm vừa xem vào giỏ,them_vao_gio_hang
mình đổi ý không mua nữa,huy_checkout
mình muốn hoàn tất thanh toán,thanh_toan_don_hang
cà phê Robusta có phải hàng Tây Bắc ko,hoi_nguon_goc
cho mình xem các sản phẩm đặc sản,tim_kiem_san_pham
đưa mình sang bước đặt hàng,bat_dau_dat_hang
giảm trà Ô Long còn 1 hộp,cap_nhat_gio_hang
không cần đặt đơn này nữa,huy_checkout
cho mình hỏi shop,chao_hoi
hello shop,chao_hoi
tìm giúp mình quà tặng,tim_kiem_san_pham
cà phê arabica nguồn gốc ở đâu,hoi_nguon_goc
có được đồng kiểm không giúp mình,chinh_sach_doi_tra
cho mình chọn phương thức thanh toán,chon_phuong_thuc_thanh_toan
nên mua trà Ô Long hay cà phê Arabica Cầu Đất,so_sanh_san_pham
mình muốn chuyển sang đặt hàng,bat_dau_dat_hang
tiến hành tạo đơn giúp mình,bat_dau_dat_hang
mình muốn xem trà Shan Tuyết,tim_kiem_san_pham
khi nào mua mình nhắn lại shop,tam_biet
shop cho mình hủy đơn được không shop,huy_don_hang
chốt đơn giúp mình,xac_nhan_dat_hang
shop đang có khuyến mãi gì nhé,khuyen_mai
giúp mình bỏ cà phê vào giỏ,them_vao_gio_hang
shop hỗ trợ phương thức thanh toán nào nhé,phuong_thuc_thanh_toan
đổi sang thanh toán online,chon_phuong_thuc_thanh_toan
shop cho mình biết thương hiệu của sản phẩm này,hoi_thuong_hieu
ship hỏa tốc được không giúp mình,thoi_gian_giao_hang
mình muốn mua quà tặng,tim_kiem_san_pham
chào bạn nhé,chao_hoi
quà doanh nghiệp có quy cách bao nhiêu,hoi_khoi_luong
mình muốn cập nhật nơi nhận hàng,nhap_dia_chi_giao_hang
hộp quà Tết hiện tại bao nhiêu,hoi_gia
có hộp quà nào dưới 200k không,tim_san_pham_theo_gia
cho mình hỏi giá măng khô Tây Bắc,hoi_gia
tôi xác nhận đơn này,xac_nhan_dat_hang
nên mua quà doanh nghiệp hay hạt điều rang muối,so_sanh_san_pham
xem danh sách sản phẩm trong giỏ,xem_gio_hang
đổi địa chỉ giao hàng của đơn,nhap_dia_chi_giao_hang
cà phê Arabica Cầu Đất và hạt điều rang muối khác nhau thế nào,so_sanh_san_pham
giúp mình thanh toán đơn hàng,thanh_toan_don_hang
cà phê Robusta của thương hiệu nào,hoi_thuong_hieu
xem những sản phẩm đang chờ đặt,xem_gio_hang
thông tin sản phẩm hạt mắc ca,chi_tiet_san_pham
có được đồng kiểm không,chinh_sach_doi_tra
chọn MoMo làm phương thức thanh toán,chon_phuong_thuc_thanh_toan
hộp quà tết cao cấp và hạt điều rang muối khác nhau thế nào,so_sanh_san_pham
có chuyển khoản được không shop,phuong_thuc_thanh_toan
"thông tin đã đúng, tiến hành đặt hàng",xac_nhan_dat_hang
shop đề xuất giúp mình,goi_y_san_pham
ship về Hà Nội bao nhiêu,hoi_phi_ship
làm sao để hủy đơn,huy_don_hang
bắt đầu quy trình đặt hàng,bat_dau_dat_hang
thương hiệu của măng khô tây bắc là gì,hoi_thuong_hieu
loại nào phù hợp hơn giữa cà phê Robusta và cà phê Arabica Cầu Đất,so_sanh_san_pham
mua quà cho bố mẹ thì nên chọn gì nhé,goi_y_san_pham
hộp quà Tết có phải hàng Tây Bắc không,hoi_nguon_goc
cho mình cập nhật địa chỉ,nhap_dia_chi_giao_hang
mình muốn xem giỏ trước khi đặt,xem_gio_hang
mình muốn thanh toán ngay,thanh_toan_don_hang
giá bán trà Ô Long thế nào,hoi_gia
có hạt nào dưới 200k ko,tim_san_pham_theo_gia
mình dùng thẻ để thanh toán đơn hàng,chon_phuong_thuc_thanh_toan
tìm sản phẩm dưới 500k,tim_san_pham_theo_gia
trà Ô Long hãng nào,hoi_thuong_hieu
sản phẩm này thuộc brand nào vậy,hoi_thuong_hieu
thay địa chỉ nhận đơn giúp mình,nhap_dia_chi_giao_hang
trọng lượng của hộp quà Tết cao cấp là bao nhiêu,hoi_khoi_luong
nếu hàng khg giống hình thì sao,chinh_sach_doi_tra
có ai hỗ trợ mình không,chao_hoi
mình muốn xem giỏ trước khi mua,xem_gio_hang
shop đang có khuyến mãi gì,khuyen_mai
shop tư vấn giúp mình với,goi_y_san_pham
đồng ý tiến hành đặt hàng,xac_nhan_dat_hang
cho tôi huy đơn hàng có mã 13,huy_don_hang
ship hỏa tốc được không,thoi_gian_giao_hang
thanh toán khi nhận hàng được ko nhé,phuong_thuc_thanh_toan
hạt mắc ca còn hàng khg,kiem_tra_ton_kho
phí giao hàng là bao nhiêu,hoi_phi_ship
xóa trà Ô Long trong giỏ,xoa_khoi_gio_hang
mình cảm ơn shop nhiều giúp mình,cam_on
có quà tặng nào dưới 200k không,tim_san_pham_theo_gia
có sản phẩm nào từ 100k đến 200k không,tim_san_pham_theo_gia
hủy bước thanh toán đơn,huy_checkout
giúp mình chọn COD cho đơn,chon_phuong_thuc_thanh_toan
đơn của mình giao chưa vậy,tra_cuu_don_hang
cập nhật số lượng trong giỏ thành 3,cap_nhat_gio_hang
cf-001 còn hàng không,kiem_tra_ton_kho
mình muốn hủy đơn vừa đặt vậy,huy_don_hang
abc xyz,khong_hieu
khách mới có ưu đãi gì ko,khuyen_mai
cho mình kiểm tra đơn hàng,tra_cuu_don_hang
cảm ơn bạn nhiều,cam_on
"giao hàng đến 40 Lê Duẩn, Hà Nội",nhap_dia_chi_giao_hang
loại nào phù hợp hơn giữa trà Shan Tuyết và mật ong hoa rừng,so_sanh_san_pham
mình cảm ơn shop nhiều,cam_on
cho mình thoát khỏi checkout,huy_checkout
asdfgh,khong_hieu
chốt đơn này nhé,xac_nhan_dat_hang
mình cảm ơn bạn,cam_on
giảm hạt điều trong giỏ xuống còn 1 hộp,cap_nhat_gio_hang
thương hiệu của trà ô long là gì,hoi_thuong_hieu
câu này nghĩa là gì,khong_hieu
hạt điều rang muối có phải hàng Tây Bắc không,hoi_nguon_goc
trà Ô Long của thương hiệu nào,hoi_thuong_hieu
mật ong hoa rừng hiện tại bao nhiêu,hoi_gia
mấy ngày thì nhận được hàng,thoi_gian_giao_hang
shop đang bán quà tặng gì,tim_kiem_san_pham
thanh toán khi nhận hàng được không giúp mình,phuong_thuc_thanh_toan
xóa trà Shan Tuyết giúp mình,xoa_khoi_gio_hang
mình muốn đặt địa chỉ giao hàng mới,nhap_dia_chi_giao_hang
có hộp quà nào dưới 1 triệu không,tim_san_pham_theo_gia
tìm giúp mình sản phẩm khoảng 150k,tim_san_pham_theo_gia
"mình chọn cà phê Robusta, thêm vào giỏ",them_vao_gio_hang
loại nào phù hợp hơn giữa mật ong hoa rừng và cà phê Robusta,so_sanh_san_pham
mình muốn thanh toán khi nhận hàng,chon_phuong_thuc_thanh_toan
ship về Hà Nội bao nhiêu vậy,hoi_phi_ship
tôi muốn hủy đơn hàng mình vừa đặt, huy_don_hang
mua nhiều có được giảm giá không,khuyen_mai
giới thiệu hộp quà Tết cho mình,chi_tiet_san_pham
shop có quà tặng khg,tim_kiem_san_pham
shop có nhận quẹt thẻ không vậy,phuong_thuc_thanh_toan
cho mình thêm trà vào giỏ,them_vao_gio_hang
đơn hàng của mình đang ở đâu,tra_cuu_don_hang
chỉnh giỏ hàng lại một chút,cap_nhat_gio_hang
cho tôi thực hiện thanh toán,thanh_toan_don_hang
tôi không hiểu nhé,khong_hieu
abc xyz shop,khong_hieu
quà doanh nghiệp còn bao nhiêu,kiem_tra_ton_kho
thương hiệu của quà doanh nghiệp là gì,hoi_thuong_hieu
hạt điều rang muối bao nhiêu tiền vậy,hoi_gia
"mình có 150k, mua được gì",tim_san_pham_theo_gia
nguồn gốc của sản phẩm là gì,hoi_nguon_goc
giới thiệu mật ong hoa rừng cho mình,chi_tiet_san_pham
đơn hàng này mình trả tiền lúc nhận nhé,chon_phuong_thuc_thanh_toan
chính sách đổi trả thế nào nhé,chinh_sach_doi_tra
có ưu đãi cho đơn hàng lớn ko,khuyen_mai
cà phê Arabica Cầu Đất còn không shop,kiem_tra_ton_kho
shop có nhận quẹt thẻ không,phuong_thuc_thanh_toan
quà doanh nghiệp dùng như thế nào,chi_tiet_san_pham
"giao về 27 Nguyễn Thị Minh Khai, TP Hồ Chí Minh",nhap_dia_chi_giao_hang
shop tư vấn giúp em,chao_hoi
ship hỏa tốc được không nhé,thoi_gian_giao_hang
nếu hàng không giống hình thì sao,chinh_sach_doi_tra
tìm giúp mình cà phê,tim_kiem_san_pham
thông tin sản phẩm hộp quà Tết shop,chi_tiet_san_pham
cho mình kiểm tra các món trong giỏ,xem_gio_hang
măng khô Tây Bắc bao nhiêu gram,hoi_khoi_luong
cho mình thêm hộp quà Tết vào giỏ,them_vao_gio_hang
"mình muốn quay lại, không đặt nữa",huy_checkout
đổi hàng như thế nào,chinh_sach_doi_tra
mình cảm ơn shop ạ,cam_on
shop cho mình biết thương hiệu của sản phẩm này vậy,hoi_thuong_hieu
mình muốn chọn thanh toán online,chon_phuong_thuc_thanh_toan
có loại măng khô tây bắc nào không,tim_kiem_san_pham
trọng lượng của hạt mắc ca là bao nhiêu,hoi_khoi_luong
tìm quà tặng trong tầm giá 1 triệu,tim_san_pham_theo_gia
tôi không muốn đặt đơn hàng số 60 hãy hủy nó đi cho tôii, huy_don_hang
cà phê Arabica Cầu Đất hãng nào,hoi_thuong_hieu
thêm cà phê Robusta vào giỏ hàng,them_vao_gio_hang
đổi số lượng hạt điều thành 2 hộp nhé,cap_nhat_gio_hang
miễn phí giao hàng khg,hoi_phi_ship
giới thiệu hạt điều rang muối cho mình,chi_tiet_san_pham
cho mình bỏ cà phê Robusta khỏi giỏ,xoa_khoi_gio_hang
đồng ý đặt đơn này,xac_nhan_dat_hang
xóa sản phẩm này ra khỏi giỏ,xoa_khoi_gio_hang
xóa món không cần thiết trong giỏ,xoa_khoi_gio_hang
giá bán trà Shan Tuyết thế nào,hoi_gia
có được đồng kiểm khg,chinh_sach_doi_tra
cho mình xem chi tiết mật ong hoa rừng,chi_tiet_san_pham
mua nhiều có được giảm không,khuyen_mai
có thể đặt hộp quà Tết ngay không,kiem_tra_ton_kho
hộp quà Tết lấy từ vùng nào,hoi_nguon_goc
Xóa tất cả giỏ hàng, xoa_tat_ca_gio_hang
mình muốn hủy đơn shop,huy_don_hang
cho mình đổi sang thanh toán COD,chon_phuong_thuc_thanh_toan
đơn vị bán của hạt mắc ca là gì,hoi_don_vi
xác nhận thông tin và đặt đơn,xac_nhan_dat_hang
quà doanh nghiệp tính theo gì shop,hoi_don_vi
mình không lấy mật ong nữa,xoa_khoi_gio_hang
cho mình thanh toán ngay đơn này,thanh_toan_don_hang
gợi ý cho mình một sản phẩm shop,goi_y_san_pham
hãy hủy cho tôi đơn hàng số 42, huy_don_hang
bỏ hạt điều rang muối vào giỏ giúp mình,them_vao_gio_hang
giúp mình thực hiện thanh toán,thanh_toan_don_hang
loại hộp quà Tết khỏi giỏ giúp mình,xoa_khoi_gio_hang
so sánh hộp quà Tết và hạt điều rang muối giúp mình,so_sanh_san_pham
khách mới có ưu đãi gì khg vậy,khuyen_mai
mình muốn dừng việc thanh toán,huy_checkout
kiểm tra đơn hàng giúp mình vậy,tra_cuu_don_hang
có giao gấp trong ngày không vậy,thoi_gian_giao_hang
trà Ô Long còn không shop,kiem_tra_ton_kho
hạt mắc ca có phải hàng Tây Bắc không,hoi_nguon_goc
tìm cà phê arabica khoảng 200k còn hàng,tim_san_pham_theo_gia
bỏ sản phẩm vừa chọn khỏi giỏ,xoa_khoi_gio_hang
đơn vị bán của cà phê Arabica Cầu Đất là gì,hoi_don_vi
bỏ sản phẩm vừa thêm,xoa_khoi_gio_hang
mình cần nhập địa chỉ để đặt đơn,nhap_dia_chi_giao_hang
cái hạt mắc ca này bao tiền,hoi_gia
mình muốn đặt hàng,bat_dau_dat_hang
đơn vị tính của sản phẩm là gì,hoi_don_vi
ok cảm ơn bạn,cam_on
mình muốn trả tiền cho đơn vừa đặt,thanh_toan_don_hang
kiểm tra đơn hàng giúp mình shop,tra_cuu_don_hang
cà phê Arabica Cầu Đất hiện tại bao nhiêu,hoi_gia
mình sẽ quay lại sau,tam_biet
nhập giúp mình địa chỉ nhận hàng,nhap_dia_chi_giao_hang
có quà tặng nào dưới 500k không,tim_san_pham_theo_gia
có thanh toán qua MoMo không ạ,phuong_thuc_thanh_toan
cho mình biết thêm về quà doanh nghiệp,chi_tiet_san_pham
dừng thanh toán giúp mình,huy_checkout
mình muốn hủy đơn vừa đặt ạ,huy_don_hang
mình sẵn sàng đặt đơn,bat_dau_dat_hang
mình muốn dừng checkout,huy_checkout
tạm biệt ạ,tam_biet
thực hiện bước thanh toán giúp mình,thanh_toan_don_hang
có được kiểm tra hàng trước khi thanh toán không giúp mình,chinh_sach_doi_tra
mình muốn đặt các sản phẩm đã chọn,bat_dau_dat_hang
thời hạn đổi trả là bao lâu,chinh_sach_doi_tra
có loại hạt mắc ca nào không,tim_kiem_san_pham
"ship về 22 Nguyễn Văn Cừ, Cần Thơ",nhap_dia_chi_giao_hang
mình muốn hủy đơn vừa đặt giúp mình,huy_don_hang
shop hiện có những sản phẩm quà tặng nào,tim_kiem_san_pham
trọng lượng của cà phê Arabica Cầu Đất là bao nhiêu,hoi_khoi_luong
nên mua hộp quà Tết hay hạt điều rang muối,so_sanh_san_pham
thông tin sản phẩm mật ong hoa rừng,chi_tiet_san_pham
mình muốn xóa một món khỏi giỏ,xoa_khoi_gio_hang
mình muốn trả tiền bằng tiền mặt khi nhận,chon_phuong_thuc_thanh_toan
hộp quà Tết của thương hiệu nào vậy,hoi_thuong_hieu
mình muốn xem cà phê Robusta,tim_kiem_san_pham
tìm đặc sản dưới 300k,tim_san_pham_theo_gia
cà phê Robusta có phải hàng Tây Bắc không,hoi_nguon_goc
Xóa toàn bộ sản phẩm khỏi giỏ hàng, xoa_tat_ca_gio_hang
cho mình hỏi giá cà phê Arabica Cầu Đất,hoi_gia
tìm sản phẩm dưới 100k,tim_san_pham_theo_gia
có voucher không vậy,khuyen_mai
mình muốn hỏi shop một chút,chao_hoi
hộp quà Tết có đặc điểm gì,chi_tiet_san_pham
chính sách đổi trả thế nào ạ,chinh_sach_doi_tra
có được trả hàng không,chinh_sach_doi_tra
loại nào phù hợp hơn giữa quà doanh nghiệp và trà Shan Tuyết,so_sanh_san_pham
có giao gấp trong ngày ko,thoi_gian_giao_hang
mình muốn thay đổi số lượng hàng đã chọn,cap_nhat_gio_hang
mình chọn thanh toán bằng thẻ,chon_phuong_thuc_thanh_toan
có những loại cà phê nào,tim_kiem_san_pham
mình muốn xem trạng thái đơn hàng,tra_cuu_don_hang
hộp quà Tết cao cấp được sản xuất ở đâu giúp mình,hoi_nguon_goc
giúp mình bỏ măng khô khỏi giỏ,xoa_khoi_gio_hang
mình muốn bắt đầu đặt đơn,bat_dau_dat_hang
"mình muốn mua quà, shop tư vấn giúp shop",goi_y_san_pham
cà phê Arabica Cầu Đất bán theo đơn vị nào,hoi_don_vi
làm sao để hủy đơn ạ,huy_don_hang
chọn COD cho đơn này,chon_phuong_thuc_thanh_toan
"mình có ngân sách 300k, nên mua gì",goi_y_san_pham
tôi không hiểu vậy,khong_hieu
tôi muốn đặt 1 hộp quà Tết,bat_dau_dat_hang
không tiếp tục mua nữa,huy_checkout
"đồng ý, đặt hàng nhé",xac_nhan_dat_hang
có được kiểm tra hàng trước khi thanh toán không,chinh_sach_doi_tra
cảm ơn shop,cam_on
tìm sản phẩm dưới 1 triệu,tim_san_pham_theo_gia
"thông tin đơn đúng rồi, xác nhận nhé",xac_nhan_dat_hang
hộp quà Tết của thương hiệu nào,hoi_thuong_hieu
giúp mình cập nhật món trong giỏ,cap_nhat_gio_hang
thêm hai hộp hạt mắc ca,them_vao_gio_hang
mình muốn cho trà Shan Tuyết vào giỏ,them_vao_gio_hang
có voucher không,khuyen_mai
gợi ý trà cho mình,goi_y_san_pham
có ưu đãi cho đơn hàng lớn không giúp mình,khuyen_mai
cho mình hỏi một chút,chao_hoi
ship về hà nội bao nhiêu,hoi_phi_ship
mình cảm ơn shop nhiều vậy,cam_on
hạt điều rang muối có quy cách bao nhiêu vậy,hoi_khoi_luong
cho mình biết thêm về hộp quà Tết,chi_tiet_san_pham
có thể hủy đơn không giúp mình,huy_don_hang
shop cho đổi sản phẩm không,chinh_sach_doi_tra
sửa số lượng món này giúp mình,cap_nhat_gio_hang
mình muốn cung cấp nơi nhận hàng,nhap_dia_chi_giao_hang
cho mình hỏi nguồn gốc hạt mắc ca,hoi_nguon_goc
cho mình sửa nơi giao đơn,nhap_dia_chi_giao_hang
khách mới có ưu đãi gì không ạ,khuyen_mai
có thanh toán qua MoMo không vậy,phuong_thuc_thanh_toan
shop báo giá cà phê Robusta giúp mình,hoi_gia
loại nào phù hợp hơn giữa trà Ô Long và hạt điều rang muối,so_sanh_san_pham
tra cứu đơn hàng thế nào ạ,tra_cuu_don_hang
cà phê Arabica Cầu Đất xuất xứ ở đâu,hoi_nguon_goc
phí ship bao nhiêu giúp mình,hoi_phi_ship
"ok, chốt đơn",xac_nhan_dat_hang
mình không biết nên mua loại nào giúp mình,goi_y_san_pham
tạm biệt nhé,tam_biet
măng khô tây bắc bán theo đơn vị nào,hoi_don_vi
Xóa hết giỏ hàng, xoa_tat_ca_gio_hang
cho mình thêm măng khô vào giỏ,them_vao_gio_hang
shop cho mình hủy đơn được không,huy_don_hang
mấy ngày thì nhận được hàng vậy,thoi_gian_giao_hang
bỏ hạt điều rang muối ra khỏi giỏ,xoa_khoi_gio_hang
dừng quy trình đặt hàng,huy_checkout
đơn này giao về nhà mình,nhap_dia_chi_giao_hang
khách mới có ưu đãi gì không giúp mình,khuyen_mai
xin chào shop,chao_hoi
cho mình kiểm tra đơn hàng giúp mình,tra_cuu_don_hang
thông tin sản phẩm cà phê Robusta,chi_tiet_san_pham
mình đi nhé,tam_biet
cho mình thanh toán ngay bây giờ,thanh_toan_don_hang
hàng bị lỗi có được đổi không shop,chinh_sach_doi_tra
mua nhiều có được giảm giá không vậy,khuyen_mai
quà doanh nghiệp và trà Shan Tuyết khác nhau thế nào,so_sanh_san_pham
có thể hủy đơn không ạ,huy_don_hang
cà phê Robusta xuất xứ ở đâu,hoi_nguon_goc
hạt mắc ca tính theo túi hay hộp,hoi_don_vi
có thể hủy đơn không,huy_don_hang
"mình có ngân sách 150k, nên mua gì",goi_y_san_pham
shop đang bán cà phê gì,tim_kiem_san_pham
shop còn hạt mắc ca không,kiem_tra_ton_kho
giúp mình chốt đơn chính thức,xac_nhan_dat_hang
có những loại quà tặng nào,tim_kiem_san_pham
cho mình thông tin về quà doanh nghiệp,chi_tiet_san_pham
những sản phẩm mình chọn đang ở đâu,xem_gio_hang
nên mua sản phẩm nào shop,goi_y_san_pham
shop hiện có những sản phẩm cà phê nào,tim_kiem_san_pham
khi nào thì giao tới giúp mình,thoi_gian_giao_hang
shop gợi ý giúp mình,goi_y_san_pham
cho mình hỏi chút shop,chao_hoi
còn mật ong hoa rừng không,kiem_tra_ton_kho
tôi muốn mua 5 hộp hạt mắc ca,bat_dau_dat_hang
hiện mình đã thêm những gì vào giỏ,xem_gio_hang
đổi số lượng cà phê Robusta thành 2 gói,cap_nhat_gio_hang
shop báo giá hạt mắc ca giúp mình,hoi_gia
thêm 1 hộp hạt điều vào giỏ,them_vao_gio_hang
mình không rõ,khong_hieu
so sánh hai loại cà phê này,so_sanh_san_pham
thoát khỏi bước đặt hàng,huy_checkout
cho mình xem chi tiết hộp quà tết cao cấp giúp mình,chi_tiet_san_pham
mình không biết hỏi thế nào giúp mình,khong_hieu
"mình có ngân sách 1 triệu, nên mua gì",goi_y_san_pham
trọng lượng của quà doanh nghiệp là bao nhiêu,hoi_khoi_luong
ok cảm ơn bạn giúp mình,cam_on
tìm quà tặng dưới 1 triệu,tim_san_pham_theo_gia
"mình có ngân sách 500k, nên mua gì",goi_y_san_pham
mình muốn xem trạng thái đơn hàng ạ,tra_cuu_don_hang
trà Ô Long có nguồn gốc ở đâu,hoi_nguon_goc
"mình lỡ chọn sai số lượng, sửa giúp mình",cap_nhat_gio_hang
có giao gấp trong ngày không shop,thoi_gian_giao_hang
